E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
6.641323029,3.358676971,0.884401462,0.232746963,3.62E-06,4.33E-08,-0.504147428,-0.557001985
7.245832248,2.754167752,96.39558004,0.542166795,1.11E-07,2.57E-07,-0.546493934,-0.531980725
4.671326204,5.328673796,184.6184301,831.972015,3.63E-06,1.59E-06,1.0002,1.0002
5.549929568,4.450070432,0.26370133,6.827199125,7.89E-08,4.32E-06,0.150495432,0.160784617
2.118375985,7.881624015,0.184601586,136.8748932,5.90E-07,1.37E-07,0.067654438,0.031016144
1.916240588,8.083759412,23.86352825,35.12637783,1.55E-07,3.56E-07,0.956382425,0.980050097
6.347223694,3.652776306,0.384319992,19.48285507,6.68E-08,1.68E-06,0.271173313,0.300643763
4.768769649,5.231230351,198.9100662,0.380645779,4.57E-06,1.56E-06,-0.37071157,-0.368183792
5.521888852,4.478111148,1.743165796,608.2719843,3.65E-08,2.23E-06,0.540474395,0.742878699
7.119990859,2.880009141,0.376259723,1.604613826,1.80E-08,5.13E-07,-0.071880512,-0.109925966
6.07774656,3.92225344,482.927448,20.51487444,1.06E-07,2.06E-08,999,999
5.428635205,4.571364795,0.4593322,62.96566267,1.42E-06,5.15E-06,0.364187299,0.361752246
5.473657286,4.526342714,1.376830029,39.53052853,2.64E-06,3.95E-06,0.733037806,0.730910835
3.431600785,6.568399215,0.411579354,578.5989468,9.91E-06,2.48E-06,0.235526622,0.228360786
1.246542677,8.753457323,0.289707844,0.392424361,7.75E-08,1.99E-08,-0.018241825,-0.043892026
4.493739114,5.506260886,0.121504417,10.79968165,1.67E-07,4.10E-08,0.050486729,-0.024220797
2.716677383,7.283322617,0.16656419,4.131783557,2.57E-08,1.70E-06,0.048508729,0.050269054
4.26822915,5.73177085,0.499534955,7.882698538,5.30E-07,1.17E-08,0.103461419,-0.198407748
7.827224586,2.172775414,0.163503755,0.299826562,9.83E-06,8.66E-06,-0.190094445,-0.188890026
2.871515887,7.128484113,23.1512937,0.343857451,1.27E-06,1.35E-07,-0.305360274,-0.362708865
