EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
3.5,6.5,0.35,0.65,0.011088624,0.737931055,11.0886242,737.9310552,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.7,6.3,0.37,0.63,0.011232034,0.747310634,11.23203363,747.3106342,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
3.9,6.1,0.39,0.61,0.011381352,0.756080041,11.38135194,756.0800414,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.1,5.9,0.41,0.59,0.011538459,0.764295849,11.53845913,764.2958486,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.3,5.7,0.43,0.57,0.011705272,0.772006802,11.70527236,772.0068022,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.5,5.5,0.45,0.55,0.011883799,0.77925509,11.8837994,779.2550904,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.7,5.3,0.47,0.53,0.012076194,0.786077339,12.07619392,786.0773386,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
4.9,5.1,0.49,0.51,0.012284816,0.792505395,12.28481614,792.5053946,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
5.1,4.9,0.51,0.49,0.012512302,0.798566945,12.51230217,798.5669451,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
5.3,4.7,0.53,0.47,0.012761646,0.804285995,12.76164635,804.2859949,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
5.5,4.5,0.55,0.45,0.013036302,0.80968323,13.03630215,809.6832299,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
5.7,4.3,0.57,0.43,0.013340309,0.814776276,13.3403086,814.776276,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
5.9,4.1,0.59,0.41,0.013678452,0.81957986,13.67845228,819.5798601,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
6.1,3.9,0.61,0.39,0.014056479,0.82410587,14.05647869,824.10587,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
6.3,3.7,0.63,0.37,0.014481373,0.828363304,14.48137301,828.363304,TRUE,optimal,beta,0,0,"{'default_fun': 'linear', 'adjust_Np': False, 'enzymeA': {'fun': 'linear', 'start': 0.5, 'end': 0.5}, 'enzymeB': {'fun': 'linear', 'start': 0.5, 'end': 0.5}}"
